fold,dataset_version,evaluation,split,accuracy,dataset_distance_to_benchmark
2,chance_10/change_50,benchmark_model,val,0.66875,0.0024878995433789955
3,chance_10/change_50,benchmark_model,val,0.5625,0.0024878995433789955
4,chance_10/change_50,benchmark_model,val,0.7,0.0024878995433789955
0,chance_100/change_10,alt_model,test,0.92,0.011499429223744292
1,chance_100/change_10,alt_model,test,0.94,0.011499429223744292
2,chance_100/change_10,alt_model,test,0.95,0.011499429223744292
3,chance_100/change_10,alt_model,test,0.92,0.011499429223744292
4,chance_100/change_10,alt_model,test,0.925,0.011499429223744292
0,chance_100/change_10,alt_model,val,0.9625,0.011499429223744292
1,chance_100/change_10,alt_model,val,0.9375,0.011499429223744292
2,chance_100/change_10,alt_model,val,0.925,0.011499429223744292
3,chance_100/change_10,alt_model,val,0.90625,0.011499429223744292
4,chance_100/change_10,alt_model,val,0.93125,0.011499429223744292
0,chance_100/change_10,benchmark_model,test,0.36,0.011499429223744292
1,chance_100/change_10,benchmark_model,test,0.41,0.011499429223744292
2,chance_100/change_10,benchmark_model,test,0.365,0.011499429223744292
3,chance_100/change_10,benchmark_model,test,0.39,0.011499429223744292
4,chance_100/change_10,benchmark_model,test,0.38,0.011499429223744292
0,chance_100/change_10,benchmark_model,val,0.3625,0.011499429223744292
1,chance_100/change_10,benchmark_model,val,0.4125,0.011499429223744292
2,chance_100/change_10,benchmark_model,val,0.375,0.011499429223744292
3,chance_100/change_10,benchmark_model,val,0.3875,0.011499429223744292
4,chance_100/change_10,benchmark_model,val,0.35625,0.011499429223744292
0,chance_100/change_15,alt_model,test,0.745,0.01310365296803653
1,chance_100/change_15,alt_model,test,0.79,0.01310365296803653
2,chance_100/change_15,alt_model,test,0.735,0.01310365296803653
3,chance_100/change_15,alt_model,test,0.725,0.01310365296803653
4,chance_100/change_15,alt_model,test,0.795,0.01310365296803653
0,chance_100/change_15,alt_model,val,0.7625,0.01310365296803653
1,chance_100/change_15,alt_model,val,0.75,0.01310365296803653
2,chance_100/change_15,alt_model,val,0.76875,0.01310365296803653
3,chance_100/change_15,alt_model,val,0.75,0.01310365296803653
4,chance_100/change_15,alt_model,val,0.76875,0.01310365296803653
0,chance_100/change_15,benchmark_model,test,0.35,0.01310365296803653
1,chance_100/change_15,benchmark_model,test,0.435,0.01310365296803653
2,chance_100/change_15,benchmark_model,test,0.305,0.01310365296803653
